nct_id,phase,sponsor_name,sponsor_type,study_title,cohort,age_min,age_max,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo,eligibility_criteria_text
          -  ECOG performance status ‰ä_ 2

          -  Patients with histologically documented locally advanced, recurrent and/or metastatic
             NSCLC

          -  Tumor tissue for determination and/or confirmation of genetic pre-requisites (i.e.
             cMET positivity for Group 2 at any point in treatment; or EGFR T790M positivity post
             progression on EGFR TKI) must be provided for analysis

        Group 1 patients:

          -  Patients with EGFR T790M NSCLC (adenocarcinoma)

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. erlotinib, gefitinib)

        Group 2 patients:

          -  Patients with EGFR wild-type, cMET positive NSCLC

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. platinum doublet).

        Exclusion Criteria:

        For Group1:

        - Patients who have received more than one prior line of EGFR TKI therapy1

        For Group 2:

          -  Previous treatment with a c-MET inhibitor or HGF-targeting therapy

          -  Patients with brain metastases. However, if radiation therapy and/or surgery has been
             completed and serial evaluation by CT (with contrast enhancement) or MRI over a
             minimum of one month demonstrates the disease to be stable and if the patient remains
             must have no need for treatment with steroids

          -  Patients who require emergent use of systemic steroids, chronic use of prednisone
             (greater than 10mg or an equivalent steroid dose daily) or emergent surgery and/or
             radiotherapy.

          -  History of allergy or hypersensitivity to nivolumab components

          -  Patients with an active, known or suspected autoimmune disease. Patients with type I
             diabetes mellitis, hypothyroidism only requiring hormone replacement, skin disorders
             (such as vitiligo, psoriasis, or alopecia) not requiring systemic treatment, or
             conditions not expected to recur in the absence of an external trigger are permitted
             to enroll

          -  Patients with a condition requiring chronic systemic treatment with either
             corticosteroids(> 10 mg daily prednisone equivalent) or other immunosuppressive
             medications within 14 days of treatment start. Inhaled or topical steroids, and
             adrenal replacement steroid doses> 10 mg daily prednisone equivalent, are permitted
             in the absence of active autoimmune disease

          -  Known history of testing positive for human immunodeficiency virus (HIV) or known
             acquired immunodeficiency syndrome (AIDS)

          -  Any positive test for hepatitis B virus or hepatitis C virus indicating acute or
             chronic infection

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

        Prior therapy:

          -  Patients who have been treated with prior PD-1 and PD-L1 agents

          -  Patients who previously received agents targeting c-MET and/or EGFR T790M Note:
             Previous treatment with afatinib may be allowable after discussions between Novartis
             and Investigator.

          -  Patients with the following laboratory abnormalities:

               -  Absolute Neutrophil Count (ANC) <1.5 x 109/L

               -  Hemoglobin (Hgb) <9 g/dL

               -  Platelets <100 x 109/L

               -  Total bilirubin >1.5 x upper limit of normal (ULN). For patients with Gilbert's
                  syndrome total bilirubin >2.5 x upper limit of normal (ULN)

               -  Aspartate aminotransferase (AST) and/or alanine aminotransferase (ALT) >3 x ULN

               -  Serum creatinine >1.5 x ULN and/or measured or calculated creatinine clearance
                  <75% LLN

        Other protocol-related inclusion/exclusion criteria may apply.
      "

NCT02323126,Phase 2,Novartis Pharmaceuticals,Industry,"A Phase II, Multicenter, Open-label Study of EGF816 in Combination With Nivolumab in Adult Patients With EGFR Mutated Non-small Cell Lung Cancer and of INC280 in Combination With Nivolumab in Adult Patients With cMet Positive Non-small Cell Lung Cancer",2,18,150,include,include,include,,include,include,,,,,,require,,,require,,,,,,,,require,,"
        Inclusion Criteria:

          -  Written informed consent must be obtained prior to any screening procedures

          -  Presence of at least one measurable lesion according to RECIST v.1.1

          -  ECOG performance status ‰ä_ 2

          -  Patients with histologically documented locally advanced, recurrent and/or metastatic
             NSCLC

          -  Tumor tissue for determination and/or confirmation of genetic pre-requisites (i.e.
             cMET positivity for Group 2 at any point in treatment; or EGFR T790M positivity post
             progression on EGFR TKI) must be provided for analysis

        Group 1 patients:

          -  Patients with EGFR T790M NSCLC (adenocarcinoma)

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. erlotinib, gefitinib)

        Group 2 patients:

          -  Patients with EGFR wild-type, cMET positive NSCLC

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. platinum doublet).

        Exclusion Criteria:

        For Group1:

        - Patients who have received more than one prior line of EGFR TKI therapy1

        For Group 2:

          -  Previous treatment with a c-MET inhibitor or HGF-targeting therapy

          -  Patients with brain metastases. However, if radiation therapy and/or surgery has been
             completed and serial evaluation by CT (with contrast enhancement) or MRI over a
             minimum of one month demonstrates the disease to be stable and if the patient remains
             must have no need for treatment with steroids

          -  Patients who require emergent use of systemic steroids, chronic use of prednisone
             (greater than 10mg or an equivalent steroid dose daily) or emergent surgery and/or
             radiotherapy.

          -  History of allergy or hypersensitivity to nivolumab components

          -  Patients with an active, known or suspected autoimmune disease. Patients with type I
             diabetes mellitis, hypothyroidism only requiring hormone replacement, skin disorders
             (such as vitiligo, psoriasis, or alopecia) not requiring systemic treatment, or
             conditions not expected to recur in the absence of an external trigger are permitted
             to enroll

          -  Patients with a condition requiring chronic systemic treatment with either
             corticosteroids(> 10 mg daily prednisone equivalent) or other immunosuppressive
             medications within 14 days of treatment start. Inhaled or topical steroids, and
             adrenal replacement steroid doses> 10 mg daily prednisone equivalent, are permitted
             in the absence of active autoimmune disease

          -  Known history of testing positive for human immunodeficiency virus (HIV) or known
             acquired immunodeficiency syndrome (AIDS)

          -  Any positive test for hepatitis B virus or hepatitis C virus indicating acute or
             chronic infection

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

        Prior therapy:

          -  Patients who have been treated with prior PD-1 and PD-L1 agents

          -  Patients who previously received agents targeting c-MET and/or EGFR T790M Note:
             Previous treatment with afatinib may be allowable after discussions between Novartis
             and Investigator.

          -  Patients with the following laboratory abnormalities:

               -  Absolute Neutrophil Count (ANC) <1.5 x 109/L

               -  Hemoglobin (Hgb) <9 g/dL

               -  Platelets <100 x 109/L

               -  Total bilirubin >1.5 x upper limit of normal (ULN). For patients with Gilbert's
                  syndrome total bilirubin >2.5 x upper limit of normal (ULN)

               -  Aspartate aminotransferase (AST) and/or alanine aminotransferase (ALT) >3 x ULN

               -  Serum creatinine >1.5 x ULN and/or measured or calculated creatinine clearance
                  <75% LLN

        Other protocol-related inclusion/exclusion criteria may apply.
      "

NCT02323126,Phase 2,Novartis Pharmaceuticals,Industry,"A Phase II, Multicenter, Open-label Study of EGF816 in Combination With Nivolumab in Adult Patients With EGFR Mutated Non-small Cell Lung Cancer and of INC280 in Combination With Nivolumab in Adult Patients With cMet Positive Non-small Cell Lung Cancer",3,18,150,include,include,include,,,,include,include,,,,,,,exclude,,,,,,,,,,"
        Inclusion Criteria:

          -  Written informed consent must be obtained prior to any screening procedures

          -  Presence of at least one measurable lesion according to RECIST v.1.1

          -  ECOG performance status ‰ä_ 2

          -  Patients with histologically documented locally advanced, recurrent and/or metastatic
             NSCLC

          -  Tumor tissue for determination and/or confirmation of genetic pre-requisites (i.e.
             cMET positivity for Group 2 at any point in treatment; or EGFR T790M positivity post
             progression on EGFR TKI) must be provided for analysis

        Group 1 patients:

          -  Patients with EGFR T790M NSCLC (adenocarcinoma)

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. erlotinib, gefitinib)

        Group 2 patients:

          -  Patients with EGFR wild-type, cMET positive NSCLC

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. platinum doublet).

        Exclusion Criteria:

        For Group1:

        - Patients who have received more than one prior line of EGFR TKI therapy1

        For Group 2:

          -  Previous treatment with a c-MET inhibitor or HGF-targeting therapy

          -  Patients with brain metastases. However, if radiation therapy and/or surgery has been
             completed and serial evaluation by CT (with contrast enhancement) or MRI over a
             minimum of one month demonstrates the disease to be stable and if the patient remains
             must have no need for treatment with steroids

          -  Patients who require emergent use of systemic steroids, chronic use of prednisone
             (greater than 10mg or an equivalent steroid dose daily) or emergent surgery and/or
             radiotherapy.

          -  History of allergy or hypersensitivity to nivolumab components

          -  Patients with an active, known or suspected autoimmune disease. Patients with type I
             diabetes mellitis, hypothyroidism only requiring hormone replacement, skin disorders
             (such as vitiligo, psoriasis, or alopecia) not requiring systemic treatment, or
             conditions not expected to recur in the absence of an external trigger are permitted
             to enroll

          -  Patients with a condition requiring chronic systemic treatment with either
             corticosteroids(> 10 mg daily prednisone equivalent) or other immunosuppressive
             medications within 14 days of treatment start. Inhaled or topical steroids, and
             adrenal replacement steroid doses> 10 mg daily prednisone equivalent, are permitted
             in the absence of active autoimmune disease

          -  Known history of testing positive for human immunodeficiency virus (HIV) or known
             acquired immunodeficiency syndrome (AIDS)

          -  Any positive test for hepatitis B virus or hepatitis C virus indicating acute or
             chronic infection

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

        Prior therapy:

          -  Patients who have been treated with prior PD-1 and PD-L1 agents

          -  Patients who previously received agents targeting c-MET and/or EGFR T790M Note:
             Previous treatment with afatinib may be allowable after discussions between Novartis
             and Investigator.

          -  Patients with the following laboratory abnormalities:

               -  Absolute Neutrophil Count (ANC) <1.5 x 109/L

               -  Hemoglobin (Hgb) <9 g/dL

               -  Platelets <100 x 109/L

               -  Total bilirubin >1.5 x upper limit of normal (ULN). For patients with Gilbert's
                  syndrome total bilirubin >2.5 x upper limit of normal (ULN)

               -  Aspartate aminotransferase (AST) and/or alanine aminotransferase (ALT) >3 x ULN

               -  Serum creatinine >1.5 x ULN and/or measured or calculated creatinine clearance
                  <75% LLN

        Other protocol-related inclusion/exclusion criteria may apply.
      "

NCT02323126,Phase 2,Novartis Pharmaceuticals,Industry,"A Phase II, Multicenter, Open-label Study of EGF816 in Combination With Nivolumab in Adult Patients With EGFR Mutated Non-small Cell Lung Cancer and of INC280 in Combination With Nivolumab in Adult Patients With cMet Positive Non-small Cell Lung Cancer",4,18,150,include,include,include,,include,include,,,,,,require,,,exclude,,,,,,,,,,"
        Inclusion Criteria:

          -  Written informed consent must be obtained prior to any screening procedures

          -  Presence of at least one measurable lesion according to RECIST v.1.1

          -  ECOG performance status ‰ä_ 2

          -  Patients with histologically documented locally advanced, recurrent and/or metastatic
             NSCLC

          -  Tumor tissue for determination and/or confirmation of genetic pre-requisites (i.e.
             cMET positivity for Group 2 at any point in treatment; or EGFR T790M positivity post
             progression on EGFR TKI) must be provided for analysis

        Group 1 patients:

          -  Patients with EGFR T790M NSCLC (adenocarcinoma)

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. erlotinib, gefitinib)

        Group 2 patients:

          -  Patients with EGFR wild-type, cMET positive NSCLC

          -  Documented progression of disease according to RECIST v1.1 following primary standard
             of care (e.g. platinum doublet).

        Exclusion Criteria:

        For Group1:

        - Patients who have received more than one prior line of EGFR TKI therapy1

        For Group 2:

          -  Previous treatment with a c-MET inhibitor or HGF-targeting therapy

          -  Patients with brain metastases. However, if radiation therapy and/or surgery has been
             completed and serial evaluation by CT (with contrast enhancement) or MRI over a
             minimum of one month demonstrates the disease to be stable and if the patient remains
             must have no need for treatment with steroids

          -  Patients who require emergent use of systemic steroids, chronic use of prednisone
             (greater than 10mg or an equivalent steroid dose daily) or emergent surgery and/or
             radiotherapy.

          -  History of allergy or hypersensitivity to nivolumab components

          -  Patients with an active, known or suspected autoimmune disease. Patients with type I
             diabetes mellitis, hypothyroidism only requiring hormone replacement, skin disorders
             (such as vitiligo, psoriasis, or alopecia) not requiring systemic treatment, or
             conditions not expected to recur in the absence of an external trigger are permitted
             to enroll

          -  Patients with a condition requiring chronic systemic treatment with either
             corticosteroids(> 10 mg daily prednisone equivalent) or other immunosuppressive
             medications within 14 days of treatment start. Inhaled or topical steroids, and
             adrenal replacement steroid doses> 10 mg daily prednisone equivalent, are permitted
             in the absence of active autoimmune disease

          -  Known history of testing positive for human immunodeficiency virus (HIV) or known
             acquired immunodeficiency syndrome (AIDS)

          -  Any positive test for hepatitis B virus or hepatitis C virus indicating acute or
             chronic infection

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

          -  Patients with interstitial lung disease that is symptomatic or may interfere with the
             detection or management of suspected drug-related pulmonary toxicity

        Prior therapy:

          -  Patients who have been treated with prior PD-1 and PD-L1 agents

          -  Patients who previously received agents targeting c-MET and/or EGFR T790M Note:
             Previous treatment with afatinib may be allowable after discussions between Novartis
             and Investigator.

          -  Patients with the following laboratory abnormalities:

               -  Absolute Neutrophil Count (ANC) <1.5 x 109/L

               -  Hemoglobin (Hgb) <9 g/dL

               -  Platelets <100 x 109/L

               -  Total bilirubin >1.5 x upper limit of normal (ULN). For patients with Gilbert's
                  syndrome total bilirubin >2.5 x upper limit of normal (ULN)

               -  Aspartate aminotransferase (AST) and/or alanine aminotransferase (ALT) >3 x ULN

               -  Serum creatinine >1.5 x ULN and/or measured or calculated creatinine clearance
                  <75% LLN

        Other protocol-related inclusion/exclusion criteria may apply.
      "

NCT02864992,Phase 2,"EMD Serono Research & Development Institute, Inc.",Industry,"A Phase II Single-arm Trial to Investigate Tepotinib in Stage IIIB/IV Adenocarcinoma of the Lung With MET Exon 14 (METex14) Skipping Alterations After Failure of at Least One Prior Active Therapy, Including a Platinum-doublet-containing Regimen",1,18,150,include,,,,,,include,include,,,,,,exclude,exclude,,,,require,,,,,,"
        Inclusion Criteria:

          -  Histologically confirmed advanced adenocarcinoma of the lung, having failed at least
             one line of systemic therapy, including a platinum-doublet-containing regimen, but
             having failed a maximum of 2 lines of active therapy

          -  MET Exon 14 (METex14) skipping alterations, as determined by the central laboratory.
             Both, archival and fresh biopsies are acceptable; In case METex14 skipping alteration
             has been observed in a subject in a pre-trial setting, it should be ensured that
             sufficient tissue is available for re-testing before trial entry. Only subjects with
             METex14 skipping mutation based on trial central testing will be enrolled into the
             trial

          -  Signed, written informed consent by subject or legal representative prior to any
             trial-specific screening procedure

          -  Male or female, greater than or equal to (>=) 18 years of age (or having reached the
             age of majority according to local laws and regulations, if the age of majority is >
             18 years of age)

          -  Measurable disease in accordance with RECIST version 1.1

          -  ECOG PS of 0 or 1

        Exclusion Criteria:

          -  Subjects with characterized Epidermal Growth Factor Receptor (EGFR) (documented
             results; local testing acceptable) that predict sensitivity to EGFR-therapy,
             including, but not limited to exon 19 deletions and exon 21 alterations

          -  Subjects with characterized Anaplastic Lymphoma Kinase (ALK) rearrangements
             (documented results; local testing acceptable)

          -  Active brain metastases (defined as neurologically stable for less than (<) 4 weeks
             and/or symptomatic and/or requiring treatment with steroids and/or leptomeningeal
             disease) Subjects must have completed any prior treatment for brain metastases >= 4
             weeks prior to start of therapy (>= 2 weeks for stereotactic radiosurgery/gamma
             knife). Subjects who are neurologically stable on symptomatic therapy with
             anticonvulsants with low drug interaction risk or whose steroids are being tapered
             are eligible. Asymptomatic untreated brain metastases less than or equal to (<=) 1 cm
             are eligible

          -  Any unresolved toxicity Grade 2 or more according to National Cancer Institute Common
             Terminology Criteria for Adverse Events (NCI-CTCAE) from previous anticancer therapy

          -  Need for transfusion within 14 days prior to the first dose of trial treatment

          -  Prior chemotherapy, biological therapy, radiation therapy, or other investigational
             anticancer therapy (not including palliative radiotherapy at focal sites) within 21
             days prior to the first dose of trial treatment

          -  Inadequate hematological, liver, renal, cardiac function

          -  Prior treatment with other agents targeting the HGF/c-Met pathway

          -  Past or current history of neoplasm other than Non-small Cell Lung Cancer (NSCLC),
             except for curatively treated non-melanoma skin cancer, in situ carcinoma of the
             cervix, or other cancer curatively treated and with no evidence of disease for at
             least 5 years
      "

NCT02443337,Phase 2,Eli Lilly and Company,Industry,A Phase II Study of the Combination of LY3023414 and Necitumumab After First-Line Chemotherapy for Metastatic Squamous Non-small Cell Carcinoma of the Lung,1,18,150,,,include,,,,,include,,,,,,,,,,,require,,,,,,"
        Inclusion Criteria:

          -  Histologically confirmed squamous advanced NSCLC (Stage IV).

          -  Participants must have progressed on one prior line of platinum-based chemotherapy in
             the advanced or metastatic setting.

          -  Measurable disease as measured by response evaluation criteria in solid tumors
             (RECIST) criteria v 1.1.

          -  Eastern Cooperative Oncology Group (ECOG) Performance Status score of 0 or 1.

          -  Able to swallow the study drugs whole.

          -  Adequate organ function.

          -  Women of childbearing potential must have a negative serum or urine pregnancy test
             performed ‰ä_ 7 days prior to start of treatment. Women of childbearing potential or
             men with partners of childbearing potential must use effective birth control measures
             during treatment and during the 3 months following completion of study treatment.

        Exclusion Criteria:

          -  Participants who have received > 1 prior line of chemotherapy in the advanced or
             metastatic setting. (Immunotherapy will not be considered a line of chemotherapy.)

          -  Prior treatment with a PI3K/mTOR inhibitor, epidermal growth factor receptor (EGFR)
             inhibitor, and/or necitumumab.

          -  History of brain metastases unless irradiated ‰ä´ 2 weeks prior to first study
             treatment and stable without requirement of corticosteroids.

          -  Have serious pre-existing medical conditions.

          -  Have insulin-dependent diabetes mellitus. Participants with a type 2 diabetes
             mellitus are eligible if adequate control of blood glucose level is obtained by oral
             anti-diabetics.

          -  Women who are pregnant or breast-feeding.

          -  Clinically significant electrolyte imbalance ‰ä´ Grade 2.

          -  Currently receiving treatment with therapeutic doses of warfarin sodium. Low
             molecular weight heparin and oral Xa inhibitors are allowed.

          -  Have initiated treatment with bisphosphonates or approved receptor activator of
             nuclear factor kappa-B ligand (RANK-L) targeted agents (e.g. denosumab) ‰ä_ 28 days
             prior to Day 1 of Cycle 1.

          -  Concurrent serious infection requiring parenteral antibiotic therapy.

          -  Have a second primary malignancy that in the judgment of the investigator and Medical
             Monitor may affect the interpretation of results.

          -  Have an active, known fungal, bacterial, and/or known viral infection.

          -  History of arterial or venous embolism within 3 months prior to study enrollment. If
             the embolism occurred >3 and <6 months, the participant is eligible provided
             appropriate treatment according to institutional standard of care is ensured.
      "

NCT02392507,Phase 2,Eli Lilly and Company,Industry,"A Single-Arm, Multicenter, Open-Label, Phase 2 Study of Nabå¨-Paclitaxel (Abraxaneå¨) and Carboplatin Chemotherapy Plus Necitumumab (LY3012211) in the First-Line Treatment of Patients With Stage IV Squamous Non-Small Cell Lung Cancer (NSCLC)",1,18,150,,,include,,,,,include,,,,,,,,,,,exclude,1800,exclude,12,,,"
        Inclusion Criteria:

          -  Have histologically or cytologically confirmed squamous NSCLC.

          -  Have stage IV disease at the time of study entry (American Joint Committee on Cancer
             [AJCC] Staging Manual, 7th edition).

          -  Have measurable disease at the time of study enrollment as defined by Response
             Evaluation Criteria in Solid Tumors, version 1.1 (RECIST 1.1).

          -  Have tumor tissue available for biomarker analysis.

          -  Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1.

          -  Have adequate organ functions.

        Exclusion Criteria:

          -  Are currently enrolled in another clinical trial.

          -  Have received prior anticancer therapy with monoclonal antibodies, signal
             transduction inhibitors, or any therapies targeting the epidermal growth factor
             receptor (EGFR), vascular endothelial growth factor (VEGF), or VEGF receptor.

          -  Have received previous chemotherapy for advanced NSCLC. Participants who have
             received adjuvant or neoadjuvant chemotherapy are eligible if the last administration
             of the prior regimens occurred at least 1 year prior to study entry.

          -  Have undergone major surgery or received any investigational therapy in the 4 weeks
             prior to study entry.

          -  Have undergone systemic radiotherapy within 4 weeks prior to study entry, or focal
             radiotherapy within 2 weeks prior to study entry.

          -  Have symptomatic central nervous system (CNS) malignancy or metastasis (screening not
             required).

          -  Have a history of arterial or venous embolism within 6 months prior to study entry.

          -  Have clinical evidence of concomitant infectious conditions.

          -  Have a known allergy / history of hypersensitivity reaction to any of the treatment
             components, including any ingredient used in the formulation of necitumumab, or any
             other contraindication to one of the administered treatments.

          -  Are pregnant or breastfeeding.

          -  Have a known history of drug abuse.

          -  Have a concurrent active malignancy. Participants with a history of malignancy are
             eligible provided the participant has been disease-free for ‰ä´3 years, with the
             following exception: Participants with adequately treated basal or squamous cell
             carcinoma of the skin, preinvasive carcinoma of the cervix, or any cancer that in the
             judgment of the investigator and Lilly clinical research physician/designee may not
             affect the interpretation of results (for example, prostate, bladder) are eligible.

          -  Have discontinued investigational product or non approved use of a drug or device
             from a clinical trial within 30 days before the first day of study treatment.
      "

NCT02412371,Phase 2,AbbVie,Industry,"A Phase 1 Dose Escalation and Phase 2 Randomized, Placebo-Controlled Study of the Efficacy and Tolerability of Veliparib in Combination With Paclitaxel/Carboplatin-Based Chemoradiotherapy Followed by Veliparib and Paclitaxel/Carboplatin Consolidation in Subjects With Stage III Non-Small Cell Lung Cancer (NSCLC)",1,18,99,include,include,include,,,,include,,,,,exclude,,,,,exclude,1800,exclude,1800,exclude,1800,,,"
        Inclusion Criteria:

          1. Participants with Histologically or cytologically confirmed Stage III non-small cell
             lung cancer (NSCLC).

          2. Participants in the randomized portion of the study must have measurable disease per
             Response Evaluation Criteria in Solid Tumors (RECIST), version 1.1 criteria.

          3. Participants must have V20 (volume of lung to receive 20 Gy radiotherapy according to
             simulation) < 35%.

          4. Participant must have an Eastern Cooperative Oncology Group (ECOG) performance score
             of 0 - 1.

          5. Participant must have adequate hematologic, renal, hepatic, and lung function.

        Exclusion Criteria:

          1. Participants with prior chemotherapy or radiotherapy (RT) for current NSCLC.
             Participants curatively treated for past early stage NSCLC greater than 3 years ago
             may be included.

          2. Participants with prior exposure to poly-ADP-ribose polymerase (PARP) inhibitors.

          3. Participants with known hypersensitivity to carboplatin, paclitaxel, or formulations
             containing polyethoxylated castor oil (Cremophor).

          4. Participants with prior mediastinal or thoracic radiotherapy. Prior tangential RT to
             prior breast cancer is acceptable.

          5. Participants with major surgery in the 4 weeks prior to randomization (Video-assisted
             thoracoscopic surgery (VATS) and/or mediastinoscopy is not considered major surgery).

          6. Participants with a previous or concurrent malignancy except for treated basal cell
             or squamous cell skin cancer, in situ cervical cancer, or other cancer for which the
             patient received potentially curative treatment and has been disease-free for 3 years
             or is considered cured by the investigator if has been disease-free for less than 3
             years.

          7. Participant is pregnant or lactating.

          8. Participant with sensory peripheral neuropathy of ‰ä´ Grade 2 at baseline, unable to
             swallow medication, or participants with prior history of seizure within the prior 12
             months.
      "

NCT02412371,Phase 2,AbbVie,Industry,"A Phase 1 Dose Escalation and Phase 2 Randomized, Placebo-Controlled Study of the Efficacy and Tolerability of Veliparib in Combination With Paclitaxel/Carboplatin-Based Chemoradiotherapy Followed by Veliparib and Paclitaxel/Carboplatin Consolidation in Subjects With Stage III Non-Small Cell Lung Cancer (NSCLC)",2,18,99,include,include,include,,,,include,,,,,require,,,,,exclude,36,exclude,36,exclude,36,,,"
        Inclusion Criteria:

          1. Participants with Histologically or cytologically confirmed Stage III non-small cell
             lung cancer (NSCLC).

          2. Participants in the randomized portion of the study must have measurable disease per
             Response Evaluation Criteria in Solid Tumors (RECIST), version 1.1 criteria.

          3. Participants must have V20 (volume of lung to receive 20 Gy radiotherapy according to
             simulation) < 35%.

          4. Participant must have an Eastern Cooperative Oncology Group (ECOG) performance score
             of 0 - 1.

          5. Participant must have adequate hematologic, renal, hepatic, and lung function.

        Exclusion Criteria:

          1. Participants with prior chemotherapy or radiotherapy (RT) for current NSCLC.
             Participants curatively treated for past early stage NSCLC greater than 3 years ago
             may be included.

          2. Participants with prior exposure to poly-ADP-ribose polymerase (PARP) inhibitors.

          3. Participants with known hypersensitivity to carboplatin, paclitaxel, or formulations
             containing polyethoxylated castor oil (Cremophor).

          4. Participants with prior mediastinal or thoracic radiotherapy. Prior tangential RT to
             prior breast cancer is acceptable.

          5. Participants with major surgery in the 4 weeks prior to randomization (Video-assisted
             thoracoscopic surgery (VATS) and/or mediastinoscopy is not considered major surgery).

          6. Participants with a previous or concurrent malignancy except for treated basal cell
             or squamous cell skin cancer, in situ cervical cancer, or other cancer for which the
             patient received potentially curative treatment and has been disease-free for 3 years
             or is considered cured by the investigator if has been disease-free for less than 3
             years.

          7. Participant is pregnant or lactating.

          8. Participant with sensory peripheral neuropathy of ‰ä´ Grade 2 at baseline, unable to
             swallow medication, or participants with prior history of seizure within the prior 12
             months.
      "

NCT02750514,Phase 2,Bristol-Myers Squibb,Industry,"A Phase 2, Fast Real Time Assessment of Combination Therapies in Immuno-Oncology Study in Subjects With Advanced Non-Small Cell Lung Cancer (FRACTION-Lung)",1,18,150,include,include,include,,,,,include,,,,,,,,,,,,,,,,,"
        Inclusion Criteria:

          -  Advanced Non Small Cell Lung Cancer (NSCLC)

          -  Eastern Cooperative Oncology Group (ECOG) Performance status of ‰ä_ 1

          -  Life expectancy of at least 3 months from most recent chemotherapy or immunotherapy
             treatment

          -  Must have at least 1 lesion with measurable disease

        Exclusion Criteria:

          -  Subjects with certain mutations that have not been treated with a targeted therapy
             prior to enrollment

          -  Must not have suspected or known central nervous system metastases unless adequately
             treated

          -  Subjects who need daily oxygen therapy

          -  People with autoimmune disease
      "

NCT02616393,Phase 2,"Kadmon Corporation, LLC",Industry,"A Phase 2, Multicenter Study of Tesevatinib in Subjects With Non-Small Cell Lung Cancer, EGFR Activating Mutation, Prior Treatment With a Tyrosine Kinase Inhibitor, and Brain Metastases or Leptomeningeal Metastases",1,18,150,include,include,include,,include,include,include,include,,,,,,,require,,,,,,,,require,,"
        Cohort A

        Inclusion Criteria:

          -  History of NSCLC with EGFR mutation or an EGFR activating mutation that has had a
             clinical response to erlotinib, afatinib, or gefitinib in the patient being enrolled.

          -  Occurrence or progression of BM while receiving either erlotinib or afatinib or
             gefitinib. Previous systemic treatment included erlotinib or afatinib or gefitinib
             for at least 14 days. Patients may have received osimertinib or rociletinib, or other
             agents inhibiting the T790M EGFR mutation, but only if they then receive at least 14
             days of treatment with erlotinib, afatinib, or gefitinib and have CNS but not
             peripheral progression

          -  At least one measurable BM by RECIST 1.1 criteria (‰ä´ 10mm in longest diameter).
             Target lesions must not have received stereotactic radiotherapy (SRS). If subject had
             prior whole brain radiotherapy (WBRT), progression in any measurable BM lesion must
             have occurred at least 3 months after the end of WBRT. Subjects with asymptomatic
             brain metastases may be enrolled without prior radiation therapy to the brain.
             Subjects with minimally symptomatic brain metastases may be enrolled without prior
             radiation therapy to the brain if they do not require immediate surgical or radiation
             therapy in the opinion of the treating investigator and in the opinion of a radiation
             therapy or neurosurgical consultant

          -  Subjects in Cohort A may have asymptomatic LM detected by MRI. (Subjects with
             symptoms or signs attributed to LM will be enrolled in Cohort B whether or not they
             have brain metastases)

          -  No clinically significant progression outside of the CNS on most recent EGFR
             inhibitor therapy

          -  ECOG Score ‰ä_2

          -  No history of another malignancy in the 5 years prior to study entry, except treated
             non-melanoma skin cancer or superficial bladder cancer or carcinoma-in-situ of the
             cervix or Stage 1 or 2 cancers of other sites that have been treated surgically and
             have not recurred

          -  Adequate organ and bone marrow functions

